timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,total_actions,blocks_placed,invalid_actions,episode_ms,context_ms,state_encode_ms,next_state_encode_ms,action_select_ms,grid_clone_ms,placement_ms,finalize_ms,reward_ms,replay_ms,train_batch_ms,invalid_log_ms,final_eval_ms,episode_log_ms,update_best_ms,untracked_ms,top_stage,top_stage_ms,rejected_proximity,rejected_rot_aim,dead_tiles,dead_rotations,pruned_types
2026-05-05 23:14:19,run_1778011901552,1,24,75,v3,6,5,0,444.373,0.070,2.568,2.732,48.246,0.060,0.064,0.043,0.042,0.013,390.100,0.000,0.002,0.258,0.016,0.159,train_batch,390.100,3553,0,1,0,0
2026-05-05 23:14:34,run_1778011901552,1,49,100,v3,6,5,0,385.958,0.051,1.622,1.505,29.537,0.034,0.037,0.028,0.065,0.007,352.822,0.000,0.002,0.143,0.014,0.092,train_batch,352.822,3717,0,0,0,0
2026-05-05 23:14:53,run_1778011901552,1,74,125,v3,13,12,0,785.957,0.120,3.598,3.317,66.850,0.110,0.086,0.106,0.097,0.017,711.269,0.000,0.130,0.002,0.028,0.229,train_batch,711.269,6884,0,0,0,0
2026-05-05 23:15:15,run_1778011901552,1,99,150,v3,10,9,0,673.135,0.094,4.173,4.283,64.450,0.077,0.072,0.068,0.076,0.015,599.295,0.000,0.142,0.191,0.018,0.181,train_batch,599.295,5061,0,0,0,0
2026-05-05 23:15:34,run_1778011901552,1,124,175,v3,40,40,0,2125.078,0.414,16.210,16.329,206.276,0.918,0.274,1.069,0.226,0.032,1881.826,0.000,0.301,0.002,0.145,1.058,train_batch,1881.826,18912,0,2,0,0
2026-05-05 23:15:51,run_1778011901552,1,149,200,v3,8,7,0,400.503,0.064,2.373,2.136,39.496,0.047,0.046,0.040,0.063,0.010,355.860,0.000,0.093,0.190,0.014,0.071,train_batch,355.860,3008,0,0,0,0
2026-05-05 23:16:13,run_1778011901552,2,24,225,v3,9,8,0,584.352,0.078,2.408,2.264,45.343,0.052,0.046,0.052,0.063,0.006,533.820,0.000,0.111,0.002,0.020,0.087,train_batch,533.820,4891,0,2,0,0
2026-05-05 23:16:31,run_1778011901552,2,49,250,v3,8,7,0,407.606,0.066,2.285,1.972,40.719,0.048,0.040,0.043,0.058,0.006,362.007,0.000,0.079,0.186,0.016,0.082,train_batch,362.007,3509,0,0,0,0
2026-05-05 23:16:51,run_1778011901552,2,74,275,v3,16,15,0,812.190,0.134,4.772,4.273,85.069,0.159,0.085,0.138,0.128,0.010,716.961,0.000,0.228,0.002,0.022,0.211,train_batch,716.961,7534,0,1,0,0
2026-05-05 23:17:12,run_1778011901552,2,99,300,v3,23,22,0,1229.808,0.212,9.686,9.037,120.784,0.317,0.134,0.283,0.149,0.016,1081.686,0.000,6.911,0.167,0.040,0.386,train_batch,1081.686,10792,0,0,0,0
2026-05-05 23:17:31,run_1778011901552,2,124,325,v3,6,5,0,395.841,0.051,2.286,2.145,31.053,0.031,0.028,0.025,0.019,0.004,360.128,0.000,0.002,0.002,0.014,0.054,train_batch,360.128,3212,0,1,0,0
2026-05-05 23:17:53,run_1778011901552,2,149,350,v3,23,22,0,1217.590,0.204,8.773,8.519,118.447,0.308,0.126,0.313,0.116,0.010,1079.829,0.000,0.244,0.269,0.033,0.399,train_batch,1079.829,10751,0,0,0,0
2026-05-05 23:18:18,run_1778011901552,3,24,375,v3,32,31,0,1715.232,0.311,12.826,12.311,193.530,0.586,0.222,0.655,0.115,0.020,1493.685,0.000,0.210,0.001,0.040,0.723,train_batch,1493.685,14484,0,1,0,0
2026-05-05 23:18:41,run_1778011901552,3,49,400,v3,8,8,0,417.280,0.065,3.150,2.846,45.206,0.050,0.057,0.045,0.053,0.005,365.362,0.000,0.075,0.272,0.014,0.082,train_batch,365.362,3683,0,0,0,0
2026-05-05 23:19:05,run_1778011901552,3,74,425,v3,15,14,0,906.245,0.139,7.635,6.685,103.069,0.166,0.086,0.133,0.057,1.538,786.388,0.000,0.104,0.001,0.018,0.226,train_batch,786.388,7375,0,0,0,0
2026-05-05 23:19:25,run_1778011901552,3,99,450,v3,15,14,0,821.619,0.130,6.104,5.480,83.001,0.152,0.090,0.132,0.068,1.433,724.395,0.000,0.104,0.313,0.021,0.199,train_batch,724.395,7544,0,0,0,0
2026-05-05 23:19:48,run_1778011901552,3,124,475,v3,9,8,0,596.797,0.072,2.882,2.475,47.798,0.060,0.041,0.051,0.054,0.878,542.252,0.000,0.112,0.002,0.021,0.101,train_batch,542.252,5229,0,0,0,0
2026-05-05 23:20:09,run_1778011901552,3,149,500,v3,7,6,0,405.973,0.056,2.317,1.761,36.421,0.040,0.021,0.036,0.037,0.535,364.389,0.000,0.071,0.189,0.013,0.086,train_batch,364.389,3516,0,1,0,0
2026-05-05 23:20:29,run_1778011901552,4,24,525,v3,6,5,0,398.172,0.052,2.493,2.013,31.752,0.038,0.017,0.027,0.008,0.537,361.164,0.000,0.002,0.002,0.014,0.052,train_batch,361.164,3639,0,0,0,0
2026-05-05 23:20:48,run_1778011901552,4,49,550,v3,11,11,0,610.149,0.093,3.675,3.034,57.074,0.087,0.046,0.075,0.021,0.970,544.724,0.000,0.075,0.136,0.016,0.123,train_batch,544.724,5273,0,0,0,0
2026-05-05 23:21:09,run_1778011901552,4,74,575,v3,8,7,0,414.657,0.064,3.203,2.982,45.440,0.048,0.028,0.041,0.013,0.704,361.975,0.000,0.077,0.001,0.011,0.070,train_batch,361.975,3407,0,0,0,0
2026-05-05 23:21:33,run_1778011901552,4,99,600,v3,12,11,0,623.282,0.104,4.999,4.875,71.125,0.102,0.046,0.088,0.046,1.150,540.302,0.000,0.081,0.203,0.017,0.144,train_batch,540.302,4675,0,0,0,0
2026-05-05 23:21:58,run_1778011901552,4,124,625,v3,11,10,0,606.873,0.094,3.599,2.969,57.192,0.083,0.042,0.079,0.052,0.990,541.556,0.000,0.088,0.002,0.015,0.113,train_batch,541.556,4481,0,0,0,0
2026-05-05 23:22:22,run_1778011901552,4,149,650,v3,14,13,0,824.622,0.125,6.288,5.420,86.132,0.138,0.055,0.114,0.085,1.241,724.509,0.000,0.090,0.223,0.019,0.184,train_batch,724.509,6924,0,0,0,0
2026-05-05 23:22:41,run_1778011901552,5,24,675,v3,9,8,0,606.738,0.075,2.816,2.443,47.139,0.052,0.034,0.057,0.044,0.834,553.047,0.000,0.078,0.002,0.019,0.098,train_batch,553.047,5121,0,0,0,0
2026-05-05 23:23:00,run_1778011901552,5,49,700,v3,11,10,0,614.054,0.091,3.732,3.218,59.004,0.085,0.036,0.072,0.044,0.934,546.504,0.000,0.073,0.134,0.015,0.113,train_batch,546.504,5189,0,0,0,0
2026-05-05 23:23:24,run_1778011901552,5,74,725,v3,17,16,0,1016.250,0.152,7.288,6.619,96.787,0.178,0.072,0.160,0.095,1.574,902.960,0.000,0.103,0.001,0.027,0.234,train_batch,902.960,8099,0,0,0,0
2026-05-05 23:23:42,run_1778011901552,5,99,750,v3,11,10,0,614.459,0.095,3.374,2.977,59.883,0.083,0.043,0.080,0.048,0.997,546.408,0.000,0.076,0.261,0.016,0.119,train_batch,546.408,4945,0,0,0,0
